id,saleprice,overall_qual,gr_liv_area,garage_area,total_sq_feet,age_of_house,total_baths,neighborhood,foundation,exter_qual,heating_qc,kitchen_qual
1779,282922,8,1464,754.0,2949.0,0,3.0,Somerst,PConc,Gd,Ex,Gd
2569,226000,7,2157,487.0,3081.0,40,2.5,NAmes,CBlock,TA,Ex,Gd
2334,361919,8,2576,666.0,3810.0,0,2.5,StoneBr,PConc,Ex,Ex,Ex
2330,457347,9,2798,670.0,4196.0,1,4.5,StoneBr,PConc,Gd,Ex,Ex
2119,279000,8,1743,529.0,2709.0,31,2.5,ClearCr,CBlock,Gd,Ex,Gd
988,196000,6,1567,714.0,3134.0,32,3.0,Mitchel,PConc,TA,TA,Gd
382,152000,7,1370,479.0,2460.0,33,2.0,NWAmes,CBlock,TA,TA,TA
670,200000,5,2634,968.0,3882.0,40,4.5,NAmes,CBlock,TA,TA,TA
2760,294900,8,1590,754.0,3160.0,1,3.5,CollgCr,PConc,Gd,Ex,Ex
543,224243,7,1450,788.0,2900.0,1,2.0,SawyerW,PConc,Gd,Ex,Gd
2835,92000,6,1338,528.0,2170.0,91,2.0,Edwards,BrkTil,TA,TA,TA
1735,179540,7,1456,400.0,2184.0,0,2.5,Gilbert,PConc,Gd,Ex,Gd
448,386250,10,2392,968.0,4784.0,6,2.0,NridgHt,PConc,Ex,Ex,Ex
2287,106500,4,992,297.0,1522.0,37,2.0,MeadowV,CBlock,TA,TA,TA
524,310000,10,2007,812.0,3024.0,1,3.5,Somerst,PConc,Ex,Ex,Ex
1767,252000,7,2385,600.0,3451.0,9,2.5,NoRidge,PConc,Gd,Ex,Gd
2206,164000,7,1646,240.0,2564.0,66,2.0,Crawfor,CBlock,TA,Gd,TA
1740,177594,7,1456,400.0,2184.0,0,2.5,Gilbert,PConc,Gd,Ex,Gd
199,123900,5,1040,624.0,1568.0,74,1.0,BrkSide,CBlock,TA,Gd,TA
2214,239000,6,2624,864.0,3994.0,89,3.5,Crawfor,BrkTil,TA,TA,TA
323,169000,5,1264,528.0,2332.0,45,2.0,Mitchel,CBlock,TA,TA,TA
2421,234000,7,1557,420.0,2931.0,3,2.0,Blmngtn,PConc,Gd,Ex,Gd
952,173000,6,1287,541.0,2244.0,32,2.5,Mitchel,CBlock,TA,TA,TA
24,149000,6,1004,480.0,2008.0,40,2.0,NAmes,CBlock,TA,Ex,TA
1139,170000,7,1162,483.0,2324.0,1,2.0,SawyerW,PConc,Gd,Ex,Gd
518,225000,7,1436,529.0,2872.0,1,2.0,Somerst,PConc,Gd,Ex,Gd
1390,144900,5,960,300.0,1920.0,45,2.0,Sawyer,CBlock,TA,Ex,Gd
277,144000,5,1196,336.0,2392.0,42,2.0,Edwards,CBlock,TA,TA,TA
54,192000,8,1269,430.0,2525.0,6,2.0,Blmngtn,PConc,Gd,Ex,Gd
649,145500,5,1031,230.0,2062.0,57,2.0,NAmes,CBlock,Gd,Gd,Gd
2600,86900,4,720,280.0,1168.0,106,1.0,OldTown,BrkTil,TA,Ex,Fa
617,149500,6,1505,505.0,3010.0,56,2.0,NAmes,CBlock,TA,Ex,TA
2209,119750,5,954,240.0,1874.0,69,1.0,Crawfor,PConc,TA,Ex,Fa
2814,173900,6,1500,564.0,2250.0,1,2.5,CollgCr,PConc,TA,Ex,Gd
2542,136500,5,1050,368.0,2100.0,45,2.0,NAmes,CBlock,TA,TA,TA
2323,270000,8,2687,618.0,4749.0,12,2.5,StoneBr,PConc,Gd,Ex,Gd
1393,235000,6,1252,564.0,2854.0,48,2.0,ClearCr,CBlock,TA,Gd,TA
490,156000,7,1430,400.0,1814.0,10,2.5,Gilbert,PConc,TA,Ex,TA
542,153000,5,1114,576.0,2228.0,6,3.0,SawyerW,PConc,TA,Ex,Gd
973,165000,6,1224,402.0,2448.0,10,3.0,Mitchel,PConc,TA,Ex,TA
1012,325000,9,2504,656.0,3626.0,3,2.5,StoneBr,PConc,Gd,Ex,Ex
2218,140000,5,1355,528.0,2083.0,66,2.0,Crawfor,CBlock,TA,Ex,TA
2033,202500,6,2294,658.0,3035.0,44,3.0,IDOTRR,CBlock,TA,Fa,TA
1071,367294,9,1702,1052.0,3404.0,0,2.5,NridgHt,PConc,Ex,Ex,Ex
1583,175000,6,1509,600.0,2970.0,20,3.0,Timber,CBlock,Gd,Ex,Gd
2858,140000,7,1717,642.0,2473.0,91,2.0,Crawfor,BrkTil,TA,Gd,Gd
2265,174000,7,1240,528.0,2505.0,22,2.5,Timber,CBlock,TA,Gd,Gd
1088,190000,7,1166,400.0,2022.0,3,3.0,Gilbert,PConc,Gd,Ex,Gd
698,129000,5,1464,0.0,1968.0,99,2.0,OldTown,CBlock,Gd,Ex,TA
1896,200000,6,1652,510.0,3244.0,48,2.5,NAmes,CBlock,TA,Gd,Gd
628,193500,6,2142,509.0,3038.0,41,2.5,NAmes,CBlock,TA,TA,Gd
1212,145000,6,1092,504.0,2184.0,44,2.0,NAmes,CBlock,TA,Ex,TA
2864,218000,7,1671,451.0,2693.0,77,2.0,Crawfor,BrkTil,Gd,Ex,TA
2740,135000,5,1488,569.0,1488.0,54,1.0,Edwards,Slab,TA,Gd,TA
2560,146500,5,1624,240.0,3068.0,54,2.0,NAmes,CBlock,TA,Ex,TA
1716,194700,6,1362,460.0,2724.0,2,2.0,NridgHt,PConc,Gd,Ex,Gd
1130,230348,7,1218,462.0,2436.0,1,3.0,Somerst,PConc,Gd,Ex,Gd
201,109500,6,1068,288.0,2192.0,87,2.0,OldTown,BrkTil,TA,TA,TA
2886,242500,6,1625,576.0,3250.0,27,2.5,Mitchel,CBlock,TA,TA,Fa
2328,239000,7,1767,504.0,2831.0,19,3.0,StoneBr,PConc,Gd,Gd,Gd
2583,156000,6,1050,286.0,2100.0,52,2.0,NAmes,CBlock,TA,Ex,Gd
1206,109008,4,907,352.0,1814.0,51,1.0,NAmes,CBlock,TA,Ex,TA
2242,68104,2,845,256.0,640.0,68,1.0,IDOTRR,BrkTil,TA,Ex,TA
1105,290000,8,2501,751.0,3743.0,13,2.5,NoRidge,PConc,Gd,Ex,Gd
121,159000,5,1209,504.0,2418.0,44,2.0,NAmes,PConc,TA,Gd,TA
1223,87000,4,906,231.0,1254.0,71,1.0,BrkSide,PConc,TA,TA,TA
265,272000,8,1601,670.0,3182.0,9,3.0,CollgCr,PConc,Gd,Ex,Gd
2813,198000,7,1336,502.0,2672.0,1,3.0,CollgCr,PConc,Gd,Ex,Gd
1294,119164,4,1656,440.0,2457.0,68,2.0,OldTown,BrkTil,TA,Gd,TA
2745,93000,5,1124,0.0,1124.0,52,1.0,Edwards,Slab,TA,Gd,TA
1094,226750,7,1892,431.0,2874.0,8,2.5,Gilbert,PConc,Gd,Ex,TA
651,95000,3,1699,420.0,2677.0,109,3.0,OldTown,CBlock,TA,TA,TA
198,139900,6,1416,312.0,2196.0,62,1.5,BrkSide,CBlock,TA,TA,TA
131,76500,3,1306,0.0,2034.0,70,1.0,BrkSide,CBlock,TA,Ex,Fa
1258,86900,4,672,308.0,1344.0,68,1.0,OldTown,PConc,Gd,Gd,TA
1599,152500,5,1160,257.0,2273.0,40,2.0,Mitchel,CBlock,TA,Ex,Gd
1508,99000,4,930,286.0,1841.0,55,1.0,Edwards,CBlock,TA,TA,TA
615,82500,4,708,0.0,1128.0,69,1.0,BrkSide,CBlock,Fa,Gd,Fa
1815,179200,6,1575,529.0,3150.0,15,3.0,SawyerW,PConc,Gd,Gd,Gd
2712,142500,5,1059,286.0,2118.0,40,2.0,Sawyer,CBlock,TA,Gd,TA
2051,115400,4,1005,440.0,2010.0,43,2.0,Sawyer,CBlock,TA,TA,TA
1863,226000,7,1929,650.0,2986.0,6,3.5,Somerst,PConc,Gd,Ex,Gd
2510,144152,7,1200,480.0,1720.0,1,2.5,Somerst,PConc,Gd,Ex,Gd
1069,370000,8,2690,795.0,4455.0,5,2.5,NridgHt,PConc,Gd,Ex,Gd
336,149900,5,833,495.0,1666.0,26,2.0,Mitchel,CBlock,TA,TA,Gd
2417,172785,6,1456,429.0,2184.0,0,2.5,Gilbert,PConc,Gd,Gd,TA
1962,129000,5,864,720.0,1728.0,57,2.0,NAmes,CBlock,TA,Gd,Gd
372,181000,6,1586,435.0,2948.0,30,2.0,NWAmes,CBlock,TA,TA,TA
2578,148000,5,1370,300.0,2428.0,50,2.0,NAmes,CBlock,TA,Ex,TA
2824,117250,6,914,0.0,1828.0,4,2.0,Edwards,PConc,TA,Ex,Gd
471,192500,7,1555,430.0,2928.0,4,2.0,Blmngtn,PConc,Gd,Ex,Gd
1544,151000,6,1556,452.0,2272.0,28,3.5,Blueste,CBlock,TA,TA,TA
2141,112500,5,882,461.0,1764.0,35,2.0,CollgCr,CBlock,TA,TA,TA
2008,144000,5,1167,495.0,2082.0,87,1.0,BrkSide,BrkTil,TA,TA,TA
1075,370967,9,1800,944.0,3600.0,1,3.0,NridgHt,PConc,Ex,Ex,Ex
34,149900,6,1456,440.0,2311.0,35,2.5,NPkVill,CBlock,TA,TA,Gd
847,195000,7,1660,493.0,2491.0,7,2.5,CollgCr,PConc,Gd,Ex,Gd
1629,163900,7,1482,392.0,1866.0,15,2.5,Gilbert,PConc,TA,Gd,Gd
2073,182000,6,1522,552.0,2712.0,23,2.0,ClearCr,PConc,TA,Ex,TA
960,410000,9,2036,780.0,4226.0,1,3.0,Timber,CBlock,Ex,Ex,Ex
955,152000,5,1595,672.0,3177.0,18,3.0,Mitchel,PConc,TA,TA,TA
2476,184000,7,1686,462.0,2577.0,1,2.5,SawyerW,PConc,Gd,Ex,Gd
1590,206300,7,1344,784.0,2688.0,11,4.0,Mitchel,PConc,TA,Ex,TA
2913,146500,5,1652,928.0,3304.0,36,2.0,Mitchel,CBlock,TA,TA,TA
149,108000,4,1337,263.0,2169.0,54,1.0,NAmes,CBlock,TA,TA,TA
2525,170000,7,1920,487.0,2490.0,38,3.0,NWAmes,CBlock,TA,Gd,Gd
1470,145000,6,848,420.0,1696.0,4,2.0,CollgCr,PConc,Gd,Ex,Gd
412,123000,7,1055,440.0,2112.0,34,2.5,NPkVill,CBlock,TA,TA,TA
1399,173000,6,1291,431.0,2582.0,12,2.0,ClearCr,PConc,TA,Ex,Gd
183,105900,6,720,484.0,1344.0,82,1.0,OldTown,BrkTil,TA,Gd,TA
974,91000,4,988,297.0,1450.0,36,2.0,MeadowV,CBlock,TA,TA,TA
930,158000,5,1523,295.0,2590.0,60,3.0,Crawfor,BrkTil,TA,Fa,Fa
